Proteins,MNC...Maximum.Neighborhood.Component,Degree.Centrality,Eccentricity.Centrality,Closeness.centrality..Latora.,Radiality.Centrality,Shortest.Paths.Betweenness.Centrality,clustering.coefficient,Average.Distance,K.core.Decomposition,modularity,DMNC...Density.of.Maximum.Neighborhood.Component,Stress.Centrality,MCC,classes
SKIL,27,27,4,309,2.577142857,32.4053568,0.632478632,2.423076923,23,3,0.398885812,4676,24,0
SKP1,74,74,4,353.75,2.827142857,254.9739627,0.506849315,2.173789174,43,3,0.52676366,700,475,1
SKP2,93,93,3,365.6666667,2.875714286,340.2575812,0.536933146,2.125356125,43,3,0.549519469,2712,2156,0
SLC5A3,3,3,3,281.8333333,2.414285714,7.927567665,0.666666667,2.585470085,3,1,0.159664184,4497,2,0
SLC8A1,44,44,3,326,2.675714286,177.4675665,0.366807611,2.324786325,31,2,0.496984807,18,88,1
SLC9A1,32,32,3,332.5,2.765714286,199.1507182,0.336693548,2.235042735,25,3,0.404551175,2230,30,1
SLMAP,27,27,3,303.8333333,2.534285714,212.1574015,0.646723647,2.465811966,24,1,0.398885812,825,14,0
SMAD1,55,55,3,357.1666667,2.911428571,317.0565002,0.42962963,2.08974359,32,3,0.494956696,7848,159,0
SMAD2,115,115,3,391.1666667,3.031428571,1081.359056,0.360335622,1.97008547,43,3,0.547974667,0,1465,1
SMAD3,118,118,3,396.3333333,3.067142857,1317.361559,0.355932203,1.934472934,43,3,0.553337285,860,1764,0
SMAD4,120,120,3,397.5,3.071428571,1964.751005,0.330672269,1.93019943,43,3,0.560608358,7505,1473,0
SMAD5,48,48,4,330.75,2.704285714,103.2325644,0.505319149,2.296296296,32,3,0.507627023,524,147,0
SMAD7,69,69,3,360.5,2.9,300.4449863,0.461210571,2.101139601,35,3,0.530037514,0,427,0
SMAD9,38,39,3,323.1666667,2.665714286,113.6800068,0.524966262,2.334757835,27,3,0.457735368,210,73,0
SMURF1,56,56,4,346.4166667,2.815714286,245.1194684,0.458441558,2.185185185,32,3,0.506766725,13421,206,0
SMURF2,51,51,4,335.4166667,2.735714286,177.0046785,0.476078431,2.264957265,32,3,0.538960057,19,84,0
SNRNP70,53,55,4,336.4166667,2.732857143,354.4629795,0.738047138,2.267806268,43,4,0.477713889,9,29,0
SNRPD1,73,73,4,324.9166667,2.581428571,95.1002777,0.664764079,2.418803419,43,4,0.524180086,744,82,0
SNRPD2,78,78,3,355.8333333,2.834285714,668.5749346,0.586413586,2.166666667,43,4,0.552337977,1008,89,0
SNRPD3,73,73,4,322.9166667,2.564285714,86.04133925,0.674277017,2.435897436,43,4,0.524180086,20301,86,0
SNRPE,80,83,3,360.3333333,2.858571429,1484.354011,0.511019689,2.142450142,43,4,0.559328947,0,62,0
SNRPF,75,75,4,332.4166667,2.64,363.6893025,0.606126126,2.36039886,43,4,0.534301001,5791,50,0
SNRPG,81,81,4,333.5833333,2.632857143,1056.050921,0.528703704,2.367521368,43,4,0.564091744,391,52,0
SNTA1,53,53,3,342.6666667,2.792857143,423.4760841,0.394775036,2.207977208,32,1,0.509385528,958,419,0
SNTB1,15,16,3,311.5,2.631428571,318.4315448,0.491666667,2.368945869,14,2,0.532259813,73,8,0
SNTB2,12,12,3,285.5,2.42,11.52544327,0.712121212,2.57977208,12,2,0.473029879,62,4,0
SNTG2,12,12,3,286.6666667,2.43,8.288049858,0.787878788,2.56980057,12,2,0.473029879,144,5,0
SORBS1,26,26,3,327.5,2.74,66.29440332,0.363076923,2.260683761,25,2,0.38148475,726,16,0
SPDYA,6,6,4,278.25,2.372857143,0,1,2.626780627,6,3,0.150525011,447,1,0
SPP1,52,52,3,343.6666667,2.804285714,87.21668339,0.626696833,2.196581197,35,3,0.523125199,164,216,0
SPRY1,24,24,3,319.5,2.677142857,13.23885879,0.652173913,2.323361823,24,3,0.371628053,667,29,0
SPRY2,26,28,3,329.5,2.751428571,98.69230433,0.494708995,2.249287749,26,3,0.442175505,144,30,0
SPTA1,31,33,3,331.6666667,2.755714286,611.875009,0.65530303,2.245014245,30,1,0.400726125,0,16,0
SPTAN1,57,58,3,361.3333333,2.938571429,753.8125625,0.331518451,2.062678063,32,1,0.507199388,2361,83,0
SPTB,35,36,3,333.8333333,2.765714286,132.3619673,0.576190476,2.235042735,30,1,0.401097499,0,21,0
SPTBN1,49,49,3,354.5,2.905714286,568.5133858,0.389455782,2.095441595,31,1,0.520533453,30998,54,1
SPTBN2,38,38,3,334.6666667,2.767142857,135.2137508,0.563300142,2.233618234,30,1,0.441634123,4984,33,0
